Gene,Ensemble ID,Nuc MIN6 1,Cyto MIN6 1,Nuc MIN6 2,Cyto MIN6 2,Nuc liver 1,Cyto liver 1,Nuc liver 2,Cyto liver 2
Creb3l1,ENSMUSG00000027230,0.100573,0.45194,0,0,0.499682,0,0,3.409573
Creb3l2,ENSMUSG00000038648,0.123058,1.233579,0.118128,1.157543,0.517335,0.439234,0.422183,0.641823
Creb3l3,ENSMUSG00000035041,0.394052,0,0.245874,0.370665,159.364821,259.640195,99.590016,205.728411
Creb3l4,ENSMUSG00000027938,0,0,0,0,0,0,0,0
Creb5,ENSMUSG00000053007,0,0,0,0,0,0,0,0
Crebbp,ENSMUSG00000022521,0,0.716372,0.408083,0.346051,0.48741,0,0.364615,0
Crebl2,ENSMUSG00000032652,0.169405,0.701076,0.072108,0.520671,0.60288,24.569125,1.288557,13.317183
Crebrf,ENSMUSG00000048249,0.32356,1.22015,0.086907,1.574628,1.291735,4.739417,1.885437,12.245407
Crebzf,ENSMUSG00000051451,0.494126,2.017068,0.969302,3.25608,4.609384,3.500495,4.17095,5.518955
Creg1,ENSMUSG00000040713,1.269282,14.749533,0.423127,14.325545,23.220577,403.789631,33.305676,356.160464
Creg2,ENSMUSG00000050967,0,0.023142,0,0,0,0,0,0
Creld1,ENSMUSG00000030284,1.710095,1.200726,0.333448,3.267473,11.151485,29.756423,6.355865,32.610891
Creld2,ENSMUSG00000023272,9.647517,8.86763,4.104325,6.874957,13.798698,40.696086,4.889545,64.422296
Crem,ENSMUSG00000063889,0.399118,1.469158,0.414194,2.318259,2.775483,49.349139,2.102134,42.852265
Crh,ENSMUSG00000049796,0,0,0,0,0,0,0,0
Crhbp,ENSMUSG00000021680,0,0,0.095712,0,0,0,0,0
Crhr1,ENSMUSG00000018634,7.897313,2.534861,5.759562,2.894264,0,0,0,0
Crhr2,ENSMUSG00000003476,0,0,0.042612,0,0.203582,0,0,0
Crim1,ENSMUSG00000024074,0,0,0,0,0.711746,3.798421,0.76062,0.693796
Crip1,ENSMUSG00000006360,2.790108,12.090118,2.694294,12.185291,2.970501,46.23743,0,27.025528
Crip2,ENSMUSG00000006356,0.425487,0,0.147493,3.001765,12.683915,210.593528,8.961261,110.58959
Crip3,ENSMUSG00000023968,0,0,0,0,4.37629,0,1.678019,0
Cript,ENSMUSG00000024146,0.840049,5.25058,0.252178,3.45946,4.217922,35.60694,2.816617,31.81078
Crisp1,ENSMUSG00000025431,0,0,0,0,0,0,0,0
Crisp2,ENSMUSG00000023930,0,0,0,0,0,0,0,0
Crisp3,ENSMUSG00000025433,0,0,0,0,0,0,0.329975,0
Crisp4,ENSMUSG00000025774,0,0,0,0,0,0,0,0
Crispld1,ENSMUSG00000025776,0,0,0,0,0,0,0,0
Crispld2,ENSMUSG00000031825,0.020696,0,0,0.103087,0,0,0,0
Crk,ENSMUSG00000017776,0.30897,4.287568,0.503323,9.570897,4.40063,70.794597,2.498771,26.134743
Crkl,ENSMUSG00000006134,0.019968,0.583253,0.062297,0.704371,0.396839,5.559325,0.445294,4.738686
Crlf1,ENSMUSG00000007888,0,0.235399,0.326885,0,0,0,0,0
Crlf2,ENSMUSG00000033467,0.397154,0,0.275343,0.62264,4.604145,6.142813,1.968125,0
Crlf3,ENSMUSG00000017561,0.183613,0.41255,0.477367,0.43179,4.561308,2.129981,3.070948,7.781022
Crls1,ENSMUSG00000027357,0.778215,5.002491,0.942783,6.130485,12.834909,106.990781,6.70901,74.257447
Crmp1,ENSMUSG00000029121,2.238614,1.588368,1.531594,0.969759,0,0,0,0
Crnde,ENSMUSG00000031736,2.486832,1.463655,1.69001,0.633158,0,0,0,0
Crnkl1,ENSMUSG00000001767,0.052065,0.116981,0.108288,0.122437,0.517352,0,0.387015,3.530148
Crnn,ENSMUSG00000078657,0,0,0,0,0,0,0,0
Crocc,ENSMUSG00000040860,45.424935,2.172533,18.729781,0,2.533576,0,1.890959,0
Crot,ENSMUSG00000003623,0.844574,0.437913,0.810743,0.763892,216.262973,880.251502,100.447721,548.418722
Crp,ENSMUSG00000037942,0,1.352555,0.073649,0.74945,13.370838,317.117198,15.135036,260.502803
Crtac1,ENSMUSG00000042401,0,0,0,0,0,0,0,0
Crtam,ENSMUSG00000032021,0,0,0,0,0,0,0,0
Crtap,ENSMUSG00000032431,1.020096,3.274281,1.060836,4.112366,2.172086,0,2.16649,4.940412
Crtc1,ENSMUSG00000003575,0.846726,0.425925,0.630835,0.505223,0.941829,2.34562,0.375761,0.856875
Crtc2,ENSMUSG00000027936,6.391883,0.486833,1.802619,1.019073,26.37467,25.134848,12.482224,22.036763
Crtc3,ENSMUSG00000030527,0.443564,0.72169,0.636247,0.755348,1.215886,4.968058,0.909564,4.148291
Crx,ENSMUSG00000041578,0,0,0.021811,0,0,0,0.077951,0
Crxos,ENSMUSG00000074365,0.057978,0.065134,0.34214,0.398373,0,0,0,0
Cry1,ENSMUSG00000020038,0.238319,0.803201,0,0.560439,2.960148,22.116627,3.985899,24.238231
Cry2,ENSMUSG00000068742,0.532989,0.870942,0.957385,1.339557,6.802263,12.365699,4.592197,12.319903
Cryaa,ENSMUSG00000024041,0,0,0,0,0,0,0,0
Cryab,ENSMUSG00000032060,0,0,0,0,0.242037,0,0.18106,6.606149
Cryba1,ENSMUSG00000000724,0,0,0,0,0,0,0,0
Cryba2,ENSMUSG00000006546,3.305894,0.958432,1.330812,1.25391,0,0,0,0
Cryba4,ENSMUSG00000066975,0.391708,0,0.271563,0,0,0,0,4.426144
Crybb1,ENSMUSG00000029343,0.144348,0.627733,0.150116,0,0,0,0,0
Crybb2,ENSMUSG00000042240,0,0,0,0,0,0,0,0
Crybb3,ENSMUSG00000029352,1.567943,1.431598,2.042298,0.812258,0.789964,21.369446,0.590961,5.396776
Crybg3,ENSMUSG00000022723,0.376807,0.468931,0.284762,0.802877,0.525731,3.183687,1.338319,2.397524
Cryga,ENSMUSG00000044429,0,0,0,0,0,0,0,0
Crygb,ENSMUSG00000073658,0,0,0,0,0,0,0,0
Crygc,ENSMUSG00000025952,0,0,0,0,0,0,0,0
Crygd,ENSMUSG00000067299,0,0,0,0,0,0,0,0
Cryge,ENSMUSG00000070870,0,0,0,0,0,0,0,0
Crygf,ENSMUSG00000025945,0,0,0,0,0,0,0,0
Crygn,ENSMUSG00000038135,0,0,0,0,0.629777,11.763382,0,12.891833
Crygs,ENSMUSG00000033501,0,0,0,0,0,0,0,0
Cryl1,ENSMUSG00000021947,0.295061,0.662958,0,0.346936,2.198952,0,2.193286,10.003048
Crym,ENSMUSG00000030905,0,0,0,0.350185,0,6.909697,0,0
Cryz,ENSMUSG00000028199,0,2.295588,0,2.076342,0.80776,88.974483,2.496417,84.440726
Cryzl1,ENSMUSG00000058240,2.040422,2.119664,2.104569,1.616949,3.217268,12.635783,1.975917,9.912463
Cs,ENSMUSG00000005683,0.730438,6.810893,0.91153,5.840247,7.621067,23.725237,2.307572,29.715581
Csad,ENSMUSG00000023044,0.899606,0.183752,0.425242,0,39.413472,159.381464,22.188959,94.266492
Csdc2,ENSMUSG00000042109,0.058528,0.197256,0,0.206455,0,0,0,0.9921
Csde1,ENSMUSG00000068823,0.99907,4.684715,0.767934,2.962338,4.316296,110.856437,4.358991,39.760503
Cse1l,ENSMUSG00000002718,2.478339,10.858169,2.393291,12.728501,4.934414,17.425609,3.181871,11.415264
Csf1,ENSMUSG00000014599,0.502338,2.101906,0.286668,0.696984,1.753707,8.750811,2.651233,5.950785
Csf1r,ENSMUSG00000024621,0,0,0,0,13.262011,60.179284,15.595002,69.831451
Csf2,ENSMUSG00000018916,0,0,0,0,0,0,0,0
Csf2ra,ENSMUSG00000059326,1.678409,0,0.46545,0.263133,8.894888,0,7.901593,0
Csf2rb,ENSMUSG00000071713,0,0,0,0,3.04649,6.503369,1.888296,2.375738
Csf2rb2,ENSMUSG00000071714,0,0,0,0,0.446022,2.499333,0.333655,1.217373
Csf3,ENSMUSG00000038067,0,0,0,0,0,0,0,0
Csf3r,ENSMUSG00000028859,0.109695,0,0,0,8.72012,2.545007,6.115539,5.578258
Csgalnact1,ENSMUSG00000036356,0,0,0,0.112833,0,0,0.102657,0
Csgalnact2,ENSMUSG00000042042,0.235601,1.526373,0.028559,0.645799,0.409321,13.480721,0.6124,2.792999
Csk,ENSMUSG00000032312,2.856563,1.481134,0.914044,1.550205,15.284151,47.581278,15.244819,54.628706
Csl,ENSMUSG00000046934,0.027289,1.2876,0.056758,1.861036,0.406746,6.331234,0.202849,6.476014
Csmd1,ENSMUSG00000060924,0,0,0,0,0,0,0,0
Csmd2,ENSMUSG00000028804,0.078493,0.220453,0.653026,0.046147,0.097496,0,0,0
Csmd3,ENSMUSG00000022311,0,0,0,0,0,0,0,0
Csn1s1,ENSMUSG00000070702,0,0,0,0,0,0,0,0
Csn1s2a,ENSMUSG00000061937,0,0,0,0,0,0,0,0
Csn1s2b,ENSMUSG00000061388,0,0,0,0,0,0,0,0
Csn2,ENSMUSG00000063157,0,0,0,0,0,0,0,0
Csn3,ENSMUSG00000001622,0,1.445244,0,1.323564,0,0,0,0
Csnk1a1,ENSMUSG00000024576,1.194263,10.392279,0.705933,9.413056,4.705006,46.605469,3.173854,34.598478
Csnk1d,ENSMUSG00000025162,1.403515,11.739675,2.156723,15.794257,12.472926,49.739843,9.303623,34.683879
Csnk1e,ENSMUSG00000022433,0.28625,1.388842,0.704705,1.632778,1.992471,0,1.056005,0
Csnk1g1,ENSMUSG00000032384,0.073019,0.88554,0.104411,0.343484,0.181392,0,0.508851,0.618898
Csnk1g2,ENSMUSG00000003345,7.186563,4.529049,4.739333,3.915882,13.933785,32.533205,7.166125,17.827016
Csnk1g3,ENSMUSG00000073563,0.085414,0.143934,0.044413,0.502153,0.106092,7.926632,0.476184,2.895667
Csnk2a1,ENSMUSG00000074698,1.239521,8.771431,1.29676,8.164896,11.328651,38.849191,6.441038,47.808273
Csnk2a2,ENSMUSG00000046707,0.743603,0.354404,0.468667,0.423922,0.447817,2.09116,0.586245,0.763918
Csnk2b,ENSMUSG00000024387,4.045517,13.392124,3.907521,12.103826,10.323313,180.260213,8.48744,108.857445
Csnka2ip,ENSMUSG00000068167,0,0,0,0,0,0,0,0
Cspg4,ENSMUSG00000032911,0,0,0,0,0,0,0,0
Cspg5,ENSMUSG00000032482,0.153709,0,0,0,0,7.132281,0.571286,5.210959
Cspp1,ENSMUSG00000056763,4.396708,1.924464,3.744045,1.631543,13.117203,3.517458,5.916614,2.56992
Csprs,ENSMUSG00000062783,0,0,0,0,0,0,0,0
Csrnp1,ENSMUSG00000032515,0,0.174748,0.107841,0.182897,2.189672,0,2.023446,0
Csrnp2,ENSMUSG00000044636,0.277265,0.109936,0.16961,0.115063,0.405161,0,0.363706,0.552923
Csrnp3,ENSMUSG00000044647,0,0,0,0,0,0,0,0
Csrp1,ENSMUSG00000026421,0.242588,2.943303,0.353186,4.677902,1.205262,18.010188,0.360647,4.934468
Csrp2,ENSMUSG00000020186,0,0.263133,0,1.101617,5.818565,59.775703,3.482142,47.643371
Csrp2bp,ENSMUSG00000027425,4.471963,4.579816,2.06668,2.381485,3.352911,18.360423,4.887031,5.719653
Csrp3,ENSMUSG00000030470,0,0,0,0,2.152366,87.107352,6.440468,34.268852
Cst10,ENSMUSG00000033156,0,0,0,0,0,0,0,0
Cst11,ENSMUSG00000036958,0,0,0,0,0,0,0,0
Cst12,ENSMUSG00000027443,0,0,0,0.329601,0,0,0,0
Cst13,ENSMUSG00000036924,0,0,0,0,0,0,0,0
Cst3,ENSMUSG00000027447,2.770559,27.357253,0.985675,21.431929,17.749805,192.836079,20.052545,163.134896
Cst6,ENSMUSG00000024846,0,0,0,0.03574,0,0,0,0
Cst7,ENSMUSG00000068129,0,0,0,0,0,0,0.555189,0
Cst8,ENSMUSG00000027442,0,0,0,0,0,0,0,0
Cst9,ENSMUSG00000027445,0,0,0,0,0,0,0,0
Csta1,ENSMUSG00000034362,0,0,0,0,0,0,0,0
Cstad,ENSMUSG00000047363,0.082489,0,0,0,0,0,0,0
Cstb,ENSMUSG00000005054,0.48512,17.984826,0.37837,19.679136,1.205127,50.647852,0.450758,74.00853
Cstf1,ENSMUSG00000027498,0.759992,1.768064,0.686064,2.391659,2.769006,14.130341,2.448019,2.57649
Cstf2,ENSMUSG00000031256,0.398285,3.686511,0.702657,5.721066,0.306461,0.929275,0.11018,0
Cstf2t,ENSMUSG00000053536,0.040384,0.998101,0.055996,0.981336,0.668808,4.372357,0.700439,3.19452
Cstf3,ENSMUSG00000027176,1.316444,0.845099,1.173445,0.88451,7.00776,0,4.543314,0
Cstl1,ENSMUSG00000055177,0,0,0,0,0,0,0,0
CT868723 ,ENSMUSG00000095391,0,0,0,0,0,0,0,0
CT868723.1,ENSMUSG00000096237,0,0,0,0,0,0,0,0
Ctag2,ENSMUSG00000031181,0,0,0,0,0,0,0,0
Ctage5,ENSMUSG00000021000,3.503617,10.903355,2.686143,16.529864,27.996598,254.623513,21.119538,163.220698
Ctbp1,ENSMUSG00000037373,4.220625,11.040019,2.947958,8.592085,7.511495,35.076234,6.08737,46.983315
Ctbp2,ENSMUSG00000030970,2.72111,2.617931,3.386235,3.265647,1.260938,0,0.674919,12.284018
Ctbs,ENSMUSG00000028189,0,0,0.029751,0.067275,0.710767,1.327384,0.425353,1.939909
Ctc1,ENSMUSG00000020898,17.151801,3.529803,5.173877,2.770692,4.549895,12.139239,5.351238,4.429483
Ctcf,ENSMUSG00000005698,0.930134,1.421108,1.508958,1.224903,3.696991,13.810984,2.212477,15.135845
Ctcfl,ENSMUSG00000070495,1.034647,0,0.051237,0.115862,1.223931,2.286138,0.732466,0
Ctdnep1,ENSMUSG00000018559,11.73737,21.686256,6.428546,25.909185,21.291105,69.512834,12.263033,77.14659
Ctdp1,ENSMUSG00000033323,0.389969,0.697953,0.243374,0.733843,0.38586,10.857804,0.28865,2.641543
Ctdsp1,ENSMUSG00000026176,1.517441,2.177827,1.587967,4.833322,8.560718,159.425481,6.257986,81.640067
Ctdsp2,ENSMUSG00000078429,0.447818,1.774511,0.392938,2.185932,3.754561,17.567254,2.614608,11.386306
Ctdspl,ENSMUSG00000047409,1.172525,1.864299,1.508022,2.290327,0.435038,1.35432,0.596636,0
Ctdspl2,ENSMUSG00000033411,0.016889,0.551463,0.307268,2.446383,0.438544,4.098811,0.109434,1.125796
Ctf1,ENSMUSG00000042340,0,0,0,0,0.24278,4.534821,1.089696,3.313219
Ctf2,ENSMUSG00000060034,0.070248,0,0.073053,0,0.349016,0,0,0
Ctgf,ENSMUSG00000019997,0,0,0,0,1.841729,7.644658,1.071571,1.396312
Cth,ENSMUSG00000028179,0,0.572652,0,0.299678,45.586191,478.962328,25.10254,276.494756
Cthrc1,ENSMUSG00000054196,0.093847,0,0,0.441385,0,0,0,0
Ctif,ENSMUSG00000052928,0.071921,0.161595,0.049862,0.225508,0.774214,11.124077,0.846471,4.063721
Ctla2a,ENSMUSG00000044258,0.285528,0,0.371166,0.335729,1.773263,0,3.183655,2.419971
Ctla2b,ENSMUSG00000074874,0,0,0,0,2.097434,21.04871,2.165705,12.21189
Ctla4,ENSMUSG00000026011,0,0,0,0,0.233685,0,0,0
Ctnna1,ENSMUSG00000037815,0.74287,3.338226,0.669532,2.212806,3.444795,43.662078,1.104403,31.900336
Ctnna2,ENSMUSG00000063063,0.144016,1.400855,0.149768,1.437442,0,0,0,0
Ctnna3,ENSMUSG00000060843,0,0,0,0,0,0,0,0
Ctnnal1,ENSMUSG00000038816,1.261216,0.631439,1.484605,0.359504,1.139305,3.546786,0.568185,1.295672
Ctnnb1,ENSMUSG00000006932,1.290771,39.853671,1.446636,39.213277,15.116491,330.115501,17.294902,223.350618
Ctnnbip1,ENSMUSG00000028988,0.671705,4.366529,0.804766,5.480282,0.735945,7.217819,0.787204,4.787263
Ctnnbl1,ENSMUSG00000027649,0.756728,0.850126,0.196737,0.889771,0.939925,0,0,0
Ctnnd1,ENSMUSG00000034101,0.249058,2.853921,0.569814,2.69441,6.558324,47.382542,4.906073,48.126906
Ctnnd2,ENSMUSG00000022240,0.563176,0.569414,0.497817,1.191939,0,0,0,0
Ctns,ENSMUSG00000005949,2.290372,2.144207,2.739108,2.333973,4.362099,5.313793,3.546891,3.882355
Ctps,ENSMUSG00000028633,1.477146,1.843845,1.792161,2.315796,1.223166,15.231435,0.915011,2.782086
Ctps2,ENSMUSG00000031360,2.311561,3.18435,0.546776,4.061267,1.274515,5.656295,1.000721,0
Ctr9,ENSMUSG00000005609,6.100384,2.767679,1.890994,2.344988,7.868655,21.77421,3.924187,11.931467
Ctrb1,ENSMUSG00000031957,0,0,0,0,0,0,0.508977,0
Ctrc,ENSMUSG00000062478,0,0,0,0,0,0,0,0
Ctrl,ENSMUSG00000031896,0,0,0,0,1.426279,0,1.066955,0
Cts3,ENSMUSG00000074870,0,0,0,0,0,0,0,0
Cts6,ENSMUSG00000021441,0,0,0,0,0,0,0,0
Cts7,ENSMUSG00000021440,0,0,0,0,0,0,0,0
Cts8,ENSMUSG00000057446,0.036662,0,0,0,0,0,0.136261,0
Ctsa,ENSMUSG00000017760,37.501761,36.811924,21.160925,38.498682,55.115887,182.988641,36.19347,167.731604
Ctsb,ENSMUSG00000021939,0.342524,4.032703,0.569926,5.187336,14.09084,105.533605,12.577711,89.645652
Ctsc,ENSMUSG00000030560,0,0,0,0.087425,10.653329,151.328889,18.566324,135.810711
Ctsd,ENSMUSG00000007891,10.596386,81.538972,10.737177,93.239987,44.952292,787.643933,78.148045,694.413159
Ctse,ENSMUSG00000004552,0,0,0,0,0.91631,0,0,0
Ctsf,ENSMUSG00000083282,6.182564,1.016434,2.352246,0.709222,10.488814,13.994084,6.725435,5.112151
Ctsg,ENSMUSG00000040314,0,0,0,0,0.742164,6.931311,0,0
Ctsh,ENSMUSG00000032359,0.290569,1.279236,0.302173,1.024962,45.903962,511.604919,39.651385,358.741699
Ctsj,ENSMUSG00000055298,0,0,0,0,0,0,0,0
Ctsk,ENSMUSG00000028111,0.428034,0,0,0,1.417745,0,0,0
Ctsl,ENSMUSG00000021477,0.366358,3.292594,0.380989,5.312797,16.685142,135.995687,12.027771,53.820282
Ctsll3,ENSMUSG00000056728,0,0,0,0,0,0,0,0
Ctsm,ENSMUSG00000074871,0,0,0,0,0,0,0,0
Ctso,ENSMUSG00000028015,0.228747,0.373787,0.151379,0.195609,4.236026,21.228196,1.545775,9.86983
Ctsq,ENSMUSG00000021439,0,0,0,0,0,0,0,0
Ctsr,ENSMUSG00000055679,0,0,0,0,0,0,0,0
Ctss,ENSMUSG00000038642,0,0,0,0,22.546278,128.701264,31.8629,111.112004
Ctsw,ENSMUSG00000024910,0,0,0,0,4.165011,0,1.335301,0
Ctsz,ENSMUSG00000016256,12.076208,27.847398,4.62682,28.398734,46.31503,353.905975,33.071909,262.161211
Cttn,ENSMUSG00000031078,6.49042,9.506546,5.425467,8.017807,7.751938,36.193687,5.644559,29.222215
Cttnbp2,ENSMUSG00000000416,0.958272,0.8259,1.87837,0.739601,0,0,0,0
Cttnbp2nl,ENSMUSG00000062127,0,0.133722,0.037135,0.419876,0.059139,1.104636,0.13272,0.403533
Ctu1,ENSMUSG00000038888,0.057264,0.771977,0.119102,0.269326,0.853523,13.285533,0.851324,3.882668
Ctu2,ENSMUSG00000049482,2.321552,0.904312,4.890745,6.699632,23.281682,9.525979,8.99328,6.089544
Ctxn1,ENSMUSG00000048644,0.120121,0.539787,0.124918,0.423717,0.895207,0,0.223225,2.036142
Ctxn2,ENSMUSG00000074872,0,0,0,0,0,0,0,0
Ctxn3,ENSMUSG00000069372,0,0,0,0,0,0,0,0
Cubn,ENSMUSG00000026726,0,0,0,0.21234,0,0,0,0
Cuedc1,ENSMUSG00000018378,1.247703,0.240291,0.815592,0.251497,2.656733,0,1.457435,0
Cuedc1,ENSMUSG00000098571,0,0,0,0,0,0,0,0
Cuedc2,ENSMUSG00000036748,5.136601,1.967241,1.335434,2.745308,1.740035,2.708463,1.084717,1.97885
Cul1,ENSMUSG00000029686,2.84154,7.344746,3.44883,9.599338,14.806549,71.330034,6.414634,24.833712
Cul2,ENSMUSG00000024231,0.740539,0.624347,0.443638,2.298621,1.25056,3.336973,1.069151,17.787734
Cul3,ENSMUSG00000004364,1.757459,6.8033,2.111891,5.970797,1.943839,41.430522,1.799648,39.728014
Cul4a,ENSMUSG00000031446,0.911898,4.132025,1.31432,4.138263,11.400853,53.351447,4.568092,30.749282
Cul4b,ENSMUSG00000031095,0.974878,2.529637,0.520367,1.988729,0,34.353493,1.370553,0
Cul5,ENSMUSG00000032030,0.426266,0.63189,0.37997,1.716948,1.250198,8.481976,0.935235,3.512643
Cul7,ENSMUSG00000038545,11.045447,1.348771,2.996505,0.847003,2.982494,5.570895,0.446221,4.070197
Cul9,ENSMUSG00000040327,6.503603,0,2.870647,0,1.949659,10.633446,0,4.925351
Cuta,ENSMUSG00000024194,5.776839,14.454617,5.871011,14.819959,7.827675,60.921012,8.295465,111.275119
Cutal,ENSMUSG00000026870,0,0.496059,0.031509,0.258509,6.542088,24.778109,6.521436,21.855728
Cutc,ENSMUSG00000025193,0,0.287863,0.138752,0.6277,3.288713,6.189886,2.480178,13.391858
Cux1,ENSMUSG00000029705,1.084414,5.044844,0.911922,7.762619,0.691826,45.04219,1.545878,34.670115
Cux2,ENSMUSG00000042589,1.98275,1.010204,1.103472,0.70035,0.817538,0,0,0
Cuzd1,ENSMUSG00000040205,0,0,0,0,0,0,0,0
Cwc15,ENSMUSG00000004096,1.672413,7.783713,0.621144,5.337503,1.780535,55.429993,2.219933,52.647643
Cwc22,ENSMUSG00000027014,1.140261,2.358655,1.617799,3.057424,8.345576,28.129681,3.805118,9.991384
Cwc25,ENSMUSG00000018541,0.4877,1.320379,0.810631,0.544203,1.580922,9.395766,0.430048,2.942014
Cwc27,ENSMUSG00000021715,1.2128,1.362486,0.252247,0.285205,0,0,0,4.111583
Cwf19l1,ENSMUSG00000025200,0.500459,0.059182,0.13696,0.371651,0.785199,1.222208,0.97897,1.785933
Cwf19l2,ENSMUSG00000025898,0.157155,0.176551,0.081715,0.369569,1.561606,14.584313,1.168189,3.995843
Cwh43,ENSMUSG00000029154,0,0,0,0,0,0,0,0
Cx3cl1,ENSMUSG00000031778,0,0.080652,0,0,0.089171,0.832798,0,0
Cx3cr1,ENSMUSG00000052336,0.013848,0,0,0,0.068802,0,0.051469,0.563291
Cxadr,ENSMUSG00000022865,0.054724,0.122955,0.045527,0.406686,1.9032,11.07165,1.700377,6.678768
Cxcl1,ENSMUSG00000029380,0,0,0,0,4.712694,0,9.69487,8.039235
Cxcl10,ENSMUSG00000034855,0,0,0.091477,0,2.185191,10.547382,10.38094,63.627726
Cxcl11,ENSMUSG00000060183,0,0,0,0,0.449642,0,0.504544,1.534061
Cxcl12,ENSMUSG00000061353,0.088036,1.76105,0.072308,1.144574,40.273105,124.702898,30.639409,78.022047
Cxcl13,ENSMUSG00000023078,0,0,0,0,2.193548,0,1.914411,24.94615
Cxcl14,ENSMUSG00000021508,0,0,0,0,0.992468,2.317246,0,1.693024
Cxcl15,ENSMUSG00000029375,0,0,0,0,0,0,0,0
Cxcl16,ENSMUSG00000018920,0.037975,0,0,0,1.698082,5.286298,2.681692,2.574845
Cxcl17,ENSMUSG00000060188,0,0,0,0,0,0,0,0
Cxcl2,ENSMUSG00000058427,0,0,0,0,0,0,1.376243,0
Cxcl3,ENSMUSG00000029379,0,0,0,0,0,0,0,0
Cxcl5,ENSMUSG00000029371,0,0,0,0,0,0,0,0
Cxcl9,ENSMUSG00000029417,0,0,0.020932,0.047334,0.300016,8.405832,1.945075,21.153887
Cxcr1,ENSMUSG00000048480,0,0,0,0,0.269559,0,0.403298,0
Cxcr2,ENSMUSG00000026180,0.070596,0.039655,0.036708,0,0.350747,0.818936,0.327978,0
Cxcr3,ENSMUSG00000050232,0,0,0,0,0.182011,0,0.272313,0
Cxcr4,ENSMUSG00000045382,0,0,0,0.074931,0.474927,0,0.297418,0
Cxcr5,ENSMUSG00000047880,0,0,0,0,0.102691,0.959069,0.07682,0
Cxcr6,ENSMUSG00000048521,0,0,0,0,0.585891,1.367959,0.438286,0
Cxx1a,ENSMUSG00000067925,0.044574,0.200302,0.046354,0.314465,0,2.06829,0,0
Cxx1b,ENSMUSG00000067924,0.139591,1.150008,0.096777,0.984796,0.231179,0,0,1.57745
Cxx1c,ENSMUSG00000051851,0.120058,4.338581,0.249758,5.244793,0.596485,0,0,0
Cxxc1,ENSMUSG00000024560,9.532263,4.227156,5.347777,2.654564,16.825153,5.819856,5.593946,21.260471
Cxxc4,ENSMUSG00000044365,2.328639,1.327906,1.00709,1.653327,0,0,0,0
Cxxc5,ENSMUSG00000046668,1.66224,2.833291,0.834508,2.561045,3.13258,7.978994,0.852137,15.545509
Cyb561,ENSMUSG00000019590,1.411046,12.014194,2.502792,14.342331,1.804333,33.543242,0.427271,3.898998
Cyb561a3,ENSMUSG00000034445,0.140576,0,0.14619,0,1.396863,0,3.134846,0
Cyb561d1,ENSMUSG00000048796,0.214776,0.315338,0.344986,0.452577,0.633864,3.572027,0.616435,2.162576
Cyb561d2,ENSMUSG00000037190,0.040801,0.183345,0.04243,0.575685,0.608135,7.572784,0.454927,2.766404
Cyb5a,ENSMUSG00000024646,0.136944,1.230771,0,2.254293,20.41165,1467.86545,20.868112,1067.803013
Cyb5b,ENSMUSG00000031924,0.530511,4.331809,0.672802,4.564262,4.371517,111.674375,4.280107,88.170915
Cyb5d1,ENSMUSG00000044795,0,0.96751,0,0.998056,1.426279,6.660242,1.577392,0
Cyb5d2,ENSMUSG00000057778,0.191024,0.143019,0.066197,0.299455,0.790668,11.818305,0.117678,11.872879
Cyb5r1,ENSMUSG00000026456,8.081728,4.131984,12.002991,4.511115,9.824602,14.248006,6.23318,7.722033
Cyb5r2,ENSMUSG00000048065,0,0,0,0,0,0,0.102126,0
Cyb5r3,ENSMUSG00000018042,1.59701,44.421667,1.951732,47.040452,3.706094,316.757831,3.399296,298.045124
Cyb5r4,ENSMUSG00000032872,1.04945,2.502542,0.71299,3.038324,3.406352,71.895035,1.168301,27.103019
Cyb5rl,ENSMUSG00000028621,5.079902,1.134429,3.956952,2.375128,5.957805,38.755768,2.379767,43.398186
Cyba,ENSMUSG00000006519,0,0,0,0,10.793302,31.500699,12.615832,32.22098
Cybb,ENSMUSG00000015340,0,0,0,0,0.739146,3.835068,0.307184,1.681182
Cybrd1,ENSMUSG00000027015,0.010895,0.024479,0,0,0.216515,0,0.040492,0
Cyc1,ENSMUSG00000022551,14.466596,19.438763,5.457261,11.340024,40.870265,217.17513,21.612484,254.836687
Cycs,ENSMUSG00000063694,0.036458,0.860107,0,0.771616,0.362271,7.612597,0.203253,7.415868
Cyct,ENSMUSG00000056436,0,0,0,0,0,0,0,0
Cyfip1,ENSMUSG00000030447,1.769408,6.27626,0.954965,5.381047,5.514051,33.974154,2.89141,41.82415
Cyfip2,ENSMUSG00000020340,6.186784,17.243966,2.774382,15.687921,0.196732,0,0.073512,0
Cygb,ENSMUSG00000020810,0,0,0,0,0.397604,1.856678,0.594869,6.782626
Cyhr1,ENSMUSG00000053929,5.244912,3.338099,2.190861,2.042291,11.896357,47.246088,7.954625,17.058768
Cylc1,ENSMUSG00000073001,0,0,0,0,0,0,0,0
Cylc2,ENSMUSG00000039555,0,0,0,0,0,0,0,0
Cyld,ENSMUSG00000036712,0.106861,0.349236,0.191949,0.456902,1.158378,4.056929,0.686015,2.305384
Cym,ENSMUSG00000046213,0.134626,0,0,0,0.668871,0,0,0
Cyp11a1,ENSMUSG00000032323,0,0,0,0,0,0,0,0
Cyp11b1,ENSMUSG00000075604,0,0,0,0,0,0,0,0
