Item,Source,Area,EqDiameter,MinFeret,MaxFeret,MaxFeret90,Perimeter,Red,Green,Blue,MeanIntensity,SumIntensity,MinIntensity,MaxIntensity,MeanBrightness,SumBrightness,MeanDensity,SumDensity,Channel,CenterX,CenterY,ShapeFactor,Roughness,ND.T,ND.Z,ND.M,Comment
99,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,92.23,10.84,7.8,15.55,8.38,37.74,28891.74,17181.47,0,28891.74,230151626,21395,37812,44.09,351188.87,0.36,2855.07,Green,746.5,279.75,0.826,1.016,N/A,N/A,N/A,
100,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,56.42,8.48,6.65,11.47,6.73,28.56,28280.58,20329.18,0,20329.18,100568468,12507,41937,31.02,153457.65,0.52,2556.93,Blue,746.27,280.01,0.887,1.009,N/A,N/A,N/A,
101,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,66.32,9.19,7.65,11.2,7.73,30.13,23769.81,16839.06,0,23769.81,137841118,17599,28862,36.27,210332.06,0.44,2564.98,Green,739.4,241.17,0.929,1.009,N/A,N/A,N/A,
102,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,52.5,8.18,6.56,10.65,6.58,27.27,24074.25,17945.89,0,17945.89,82156293,9395,44086,27.38,125362.47,0.57,2617.61,Blue,739.37,241.13,0.904,1.01,N/A,N/A,N/A,
103,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,159.94,14.27,10.29,21.38,10.38,50.71,32237.29,16510.2,0,32237.29,445164722,18774,42714,49.19,679277.82,0.31,4335.37,Green,691.03,260.14,0.804,1.01,N/A,N/A,N/A,
104,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,70.52,9.48,7.77,12.52,7.89,31.67,33847.2,22858.26,0,22858.26,140395428,11533,53541,34.88,214229.69,0.47,2884.32,Blue,690.41,260.71,0.9,1.01,N/A,N/A,N/A,
105,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,130.1,12.87,9.84,17.49,10.11,43.22,35467.52,18617.81,0,35467.52,398016469,25719,47509,54.12,607334.2,0.27,3017.53,Green,722.76,303.27,0.884,1,N/A,N/A,N/A,
106,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,77.38,9.93,8.83,12.58,9,32.97,36149.57,23933.52,0,23933.52,160905080,9475,65535,36.52,245525.76,0.47,3159.85,Blue,722.85,303.38,0.908,1.012,N/A,N/A,N/A,
107,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,100.7,11.32,10.33,13.56,10.39,36.6,29332.22,17163.55,0,29332.22,257390234,21274,38804,44.76,392752.32,0.35,3085.35,Green,652.21,299.93,0.959,1.011,N/A,N/A,N/A,
108,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,68.83,9.36,8,11.3,8.09,30.69,29567.03,19913.25,0,19913.25,119419783,11006,54563,30.39,182222.91,0.54,3217.62,Blue,652.23,300.17,0.932,1.006,N/A,N/A,N/A,
109,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,89.22,10.66,9.43,13.66,9.76,35.35,28656.41,15181.69,0,28656.41,222774940,18859,41554,43.73,339932.77,0.36,2819.13,Green,638.45,263.08,0.91,1,N/A,N/A,N/A,
110,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,68.6,9.35,8.64,10.99,8.77,30.05,28325.26,16950.31,0,16950.31,101515424,8932,39871,25.86,154902.61,0.6,3578.16,Blue,638.12,263.04,0.969,1,N/A,N/A,N/A,
111,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,114.09,12.05,10.33,15.26,10.5,39.71,34045,16705.38,0,34045,336500808,23492,47565,51.95,513467.32,0.29,2846.88,Green,648.65,351.22,0.923,1.002,N/A,N/A,N/A,
112,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,81.98,10.22,8.79,12.76,8.85,33.78,33751.43,18745.66,0,18745.66,133769063,8829,56042,28.6,204118.51,0.56,4018.02,Blue,648.6,351.41,0.917,1.009,N/A,N/A,N/A,
113,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,106.54,11.65,11.05,13.5,11.25,37.56,37532.88,21293.3,0,37532.88,345715381,24722,53293,57.27,527527.86,0.24,2256.2,Green,648.02,363.23,0.961,1,N/A,N/A,N/A,
114,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,93.68,10.92,9.88,12.79,9.98,35.24,37338.82,22013.82,0,22013.82,178135840,9774,50467,33.59,271817.87,0.49,3970.73,Blue,647.79,363.11,0.96,1,N/A,N/A,N/A,
115,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,92.26,10.84,10.04,12.09,10.08,34.57,35025.8,19686.33,0,35025.8,282062762,23325,55866,53.45,430400.19,0.28,2230.04,Green,669.43,343.42,0.983,1.01,N/A,N/A,N/A,
116,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,75.91,9.83,8.64,11.74,8.68,31.86,35263.66,21212.7,0,21212.7,140470469,10536,51995,32.37,214344.2,0.5,3327.67,Blue,669.26,343.43,0.957,1.005,N/A,N/A,N/A,
117,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,114.15,12.06,9.94,16.46,9.95,40.59,44919.27,28781.87,0,44919.27,445374556,32973,54188,68.54,679598.01,0.17,1641.86,Green,713.19,291.71,0.879,1.012,N/A,N/A,N/A,
118,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,83.8,10.33,9.12,11.83,9.35,33.32,45080.02,31963.27,0,31963.27,232117266,15523,65535,48.77,354189.23,0.33,2375.95,Blue,713.02,291.63,0.96,1.004,N/A,N/A,N/A,
119,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,59.46,8.7,6.64,12.31,6.93,30.7,41955.48,32030.08,0,41955.48,218420252,27189,52103,64.02,333287.94,0.2,1024.91,Green,706.56,345.79,0.808,1,N/A,N/A,N/A,
120,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,46.61,7.7,6.07,10.66,6.07,26.72,42706.3,35327.88,0,35327.88,143254543,18469,65535,53.91,218593.07,0.28,1133.04,Blue,706.24,345.88,0.843,1.011,N/A,N/A,N/A,
121,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,77.95,9.96,7.94,13.13,8.17,33.55,39871.81,27489.01,0,39871.81,270091656,27063,57963,60.84,412133.45,0.22,1481.06,Green,694.67,359.23,0.879,1.007,N/A,N/A,N/A,
122,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,67.51,9.27,7.79,11.93,8.07,30.69,39594.22,28614.56,0,28614.56,167967471,13740,55026,43.66,256301.93,0.37,2199.42,Blue,694.43,359.31,0.917,1.001,N/A,N/A,N/A,
123,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,122.76,12.5,10.49,15.7,10.99,41.18,35568.78,19761.41,0,35568.78,377029089,20996,53256,54.27,575309.51,0.27,2881.08,Green,670.84,395.46,0.926,1,N/A,N/A,N/A,
124,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,79.63,10.07,9.03,12.13,9.24,32.59,34802.44,22749.31,0,22749.31,156469744,12804,56400,34.71,238757.52,0.47,3240.75,Blue,671.01,395.72,0.956,1.006,N/A,N/A,N/A,
125,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,129.33,12.83,12.02,14.29,12.61,41.05,27085.54,14080.08,0,27085.54,304793530,18662,35854,41.33,465085.11,0.39,4349.57,Green,693.85,459.74,0.976,1.003,N/A,N/A,N/A,
126,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,93.06,10.89,10.15,12.13,10.8,34.86,27414.13,16197.21,0,16197.21,130776281,8953,45120,24.72,199551.81,0.62,5033.09,Blue,693.62,460.13,0.978,1,N/A,N/A,N/A,
127,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,72.49,9.61,7.36,13.37,7.77,32.67,35113.33,25557.16,0,35113.33,222758943,24391,47214,53.58,339908.36,0.27,1740.14,Green,737.96,413.36,0.872,1.006,N/A,N/A,N/A,
128,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,56.16,8.46,6.43,11.73,6.45,28.78,35325.57,28127.57,0,28127.57,138218871,14625,54565,42.92,210908.48,0.38,1858.48,Blue,738.06,413.33,0.867,1.004,N/A,N/A,N/A,
129,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,56.2,8.46,6.26,11.92,6.31,28.91,34562.29,26456.66,0,34562.29,169113276,22576,47099,52.74,258050.32,0.28,1377.57,Green,738.83,407.16,0.862,1.004,N/A,N/A,N/A,
130,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,42.17,7.33,5.65,10.1,5.67,25.24,34508.43,29389.75,0,29389.75,108330632,16691,56827,44.85,165301.95,0.36,1324.77,Blue,738.86,407.33,0.847,1.003,N/A,N/A,N/A,
131,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,74.92,9.77,8.24,12.9,8.41,32.52,27985.35,21252.73,0,27985.35,183052146,19972,40417,42.7,279319.67,0.37,2438.7,Green,743.72,420.74,0.906,1.009,N/A,N/A,N/A,
132,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,60.62,8.79,7.57,11.09,7.69,28.98,28358.63,22895.23,0,22895.23,120863919,10830,37144,34.94,184426.52,0.47,2488.42,Blue,744.09,420.73,0.926,1,N/A,N/A,N/A,
133,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,72.25,9.59,7,14.48,7.08,33.83,28793.6,16406.31,0,28793.6,181543633,18639,35804,43.94,277017.83,0.36,2270.14,Green,765.67,419.91,0.807,1.005,N/A,N/A,N/A,
134,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,50.28,8,6.19,10.58,6.51,26.76,29593.39,18344.15,0,18344.15,81319598,10792,36636,27.99,124085.75,0.56,2497.08,Blue,765.51,419.87,0.901,1.004,N/A,N/A,N/A,
135,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,49.42,7.93,4.99,12.81,5.73,29.82,39202.15,32091.25,0,39202.15,170529343,25804,48118,59.82,260211.1,0.22,977.8,Green,745.86,388.31,0.718,1.01,N/A,N/A,N/A,
136,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,37.74,6.93,4.56,10.53,4.57,25.23,39711.65,35883.16,0,35883.16,118378534,15889,65535,54.75,180634.76,0.27,906.19,Blue,745.92,388.4,0.766,1.018,N/A,N/A,N/A,
137,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,50.5,8.02,6.22,11.17,6.34,27.77,40409.62,29446.75,0,40409.62,179257081,25857,51155,61.66,273528.77,0.21,943.22,Green,753.52,386.38,0.848,1.005,N/A,N/A,N/A,
138,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,36.44,6.81,4.98,10.73,5.04,25.16,40666.74,32691.78,0,32691.78,104875226,16395,49731,49.88,160029.34,0.31,1004.06,Blue,753.67,386.44,0.745,1.013,N/A,N/A,N/A,
139,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,85.7,10.45,9.57,12.46,9.82,34.29,27471.62,17299.1,0,27471.62,204965735,18443,37104,41.92,312757.66,0.38,2841.35,Green,703.11,479.24,0.935,1.012,N/A,N/A,N/A,
140,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,55.39,8.4,8.15,9.26,8.16,26.81,28786.84,19673,0,19673,95374717,11978,36564,30.02,145532.49,0.53,2567.07,Blue,702.4,479.36,0.984,1.013,N/A,N/A,N/A,
141,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,89.96,10.7,10.16,12.48,10.23,35.09,27088.66,17064.1,0,27088.66,211210254,17876,37104,41.33,322286.19,0.39,3021.51,Green,703.52,479.16,0.936,1.006,N/A,N/A,N/A,
142,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,59.07,8.67,8.27,9.5,8.85,27.99,28326.28,19331.73,0,28326.28,146361913,20027,37104,43.22,223333.96,0.37,1894.07,Green,702.75,479.56,0.964,1.009,N/A,N/A,N/A,
143,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,88.41,10.61,10.28,11.56,11.28,34.23,31283.68,27427.4,0,31283.68,239883241,21603,38839,47.74,366038.36,0.32,2485.68,Green,739.02,478.22,0.97,1.009,N/A,N/A,N/A,
144,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,69.11,9.38,7.95,11.35,8.56,30.62,32056.14,30527.97,0,32056.14,193330595,22922,38839,48.91,295003.58,0.31,1885.3,Green,738.77,478.39,0.942,1.003,N/A,N/A,N/A,
145,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,95.78,11.04,8.59,14.67,8.65,37.02,19945.7,11478.62,0,19945.7,165250092,14685,26958,30.44,252155.48,0.52,4300.82,Green,843.09,430.87,0.892,1.002,N/A,N/A,N/A,
146,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,64.31,9.05,7.61,11.5,7.71,30.06,19891,13691.68,0,13691.68,76276338,6876,32517,20.89,116390.23,0.7,3878.42,Blue,842.86,431.15,0.908,1.007,N/A,N/A,N/A,
147,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,94.48,10.97,9.12,14.26,9.17,36.36,21883.13,13508.92,0,21883.13,179485433,14517,27638,33.39,273877.22,0.48,3931.01,Green,832.57,423.58,0.909,1.002,N/A,N/A,N/A,
148,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,71.24,9.52,8.26,11.32,8.68,30.83,22129.6,15392.94,0,15392.94,95220703,6619,32794,23.49,145297.48,0.65,4008.34,Blue,832.66,423.28,0.957,1.005,N/A,N/A,N/A,
149,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,102.93,11.45,10.05,14.16,10.05,37.22,18723.48,12039.74,0,18723.48,166901092,12921,24882,28.57,254674.74,0.55,4869.05,Green,845.8,451.01,0.944,1,N/A,N/A,N/A,
150,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,75.12,9.78,8.69,11.44,8.84,31.51,18832.43,13554.75,0,13554.75,88227857,6984,36528,20.68,134627.08,0.7,4556.63,Blue,845.79,451.22,0.965,1.003,N/A,N/A,N/A,
151,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,103.73,11.49,9.57,14.28,9.9,37.77,30009.03,18847.78,0,30009.03,270351394,17761,46191,45.79,412529.78,0.34,3107.63,Green,689.69,446.65,0.929,1.003,N/A,N/A,N/A,
152,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,84.86,10.39,8.69,13.09,9.25,34.35,30541.57,20309.56,0,30541.57,224694363,18623,45130,46.6,342861.62,0.34,2472.45,Green,689.46,446.65,0.915,1,N/A,N/A,N/A,
153,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,55.31,8.39,8.22,10.04,8.23,28.22,34889.48,22070.7,0,34889.48,167748620,20886,43645,53.24,255967.99,0.28,1324.9,Green,816.05,348.19,0.896,1,N/A,N/A,N/A,
154,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,34.83,6.66,6.17,8.31,6.31,22.04,35468.08,26932.2,0,26932.2,82843440,12272,55815,41.1,126410.99,0.4,1227.79,Blue,816.11,347.66,0.917,1.02,N/A,N/A,N/A,
155,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,72.53,9.61,7.84,12.22,8.3,32.56,35770.6,17935.65,0,35770.6,226749824,20475,49399,54.58,345998.05,0.27,1684.44,Green,829.7,353.51,0.878,1.013,N/A,N/A,N/A,
156,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,49.96,7.98,5.59,11.26,5.74,27.56,36263.02,21059.08,0,36263.02,159158398,29579,48988,55.33,242860.15,0.26,1135.59,Green,829.85,353.69,0.846,1.007,N/A,N/A,N/A,
157,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,74.46,9.74,6.58,15.3,7.32,35.75,24664.92,16395.69,0,24664.92,160445309,17023,33409,37.64,244823.85,0.43,2778.19,Green,799.16,293.24,0.749,1.008,N/A,N/A,N/A,
158,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,48.03,7.82,5.44,11.62,5.65,27.55,25071.3,19910.96,0,19910.96,83327381,10205,43073,30.38,127149.43,0.53,2221.75,Blue,798.96,293.1,0.813,1.011,N/A,N/A,N/A,
159,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,57.64,8.57,8.2,9.25,8.85,27.45,25591.09,25693.6,0,25591.09,128467296,21250,32335,39.05,196028.53,0.41,2055.8,Green,681.3,310.6,0.976,1.009,N/A,N/A,N/A,
160,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,49.07,7.9,7.31,8.82,7.88,25.31,25930.04,26942.21,0,26942.21,115689852,15180,42783,41.11,176531.4,0.39,1682.46,Blue,681.2,310.61,0.98,1.003,N/A,N/A,N/A,
161,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,157.76,14.17,11.23,18.69,11.61,47.98,42413.19,8512.78,0,42413.19,577413140,23213,65535,64.72,881077.37,0.2,2681.73,Green,332.15,28.07,0.871,1.008,N/A,N/A,N/A,
162,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,100.46,11.31,9.6,14.15,9.65,37.28,42221.32,10508.15,0,42221.32,367241060,32520,65535,64.43,560373.94,0.19,1688.59,Green,331.79,28.71,0.919,1.01,N/A,N/A,N/A,
163,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,108.36,11.75,10.23,14.48,10.79,38.43,35027.05,11096.28,0,35027.05,327993256,21646,48214,53.45,500485.63,0.28,2593.84,Green,377.43,45.92,0.932,1.009,N/A,N/A,N/A,
164,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,78.87,10.02,8.65,12.85,8.78,33.18,35818.93,12956.56,0,35818.93,245073104,24947,48214,54.66,373957.59,0.27,1817.08,Green,377.29,46.04,0.91,1,N/A,N/A,N/A,
165,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,174.78,14.92,14.5,16.31,14.58,48.27,39702.74,12016.64,0,39702.74,601575902,21629,52355,60.58,917945.99,0.22,3376.87,Green,428.46,60,0.958,1.009,N/A,N/A,N/A,
166,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,118.88,12.3,11.7,13.53,11.77,39.38,41024.42,14431.09,0,41024.42,422182334,31664,52091,62.6,644208.95,0.21,2117.57,Green,427.72,59.52,0.975,1.011,N/A,N/A,N/A,
167,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,88.15,10.59,10.02,12.26,10.22,35.17,37221.37,19082.49,0,37221.37,284110746,27679,47745,56.8,433525.21,0.25,1885.88,Green,386.82,85.92,0.914,1.008,N/A,N/A,N/A,
168,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,68.76,9.36,8.76,10.66,8.82,30.14,37423.93,21250.31,0,37423.93,224618410,31606,47745,57.11,342745.72,0.24,1467.73,Green,386.82,86.04,0.968,1.014,N/A,N/A,N/A,
169,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,75.31,9.79,9.42,10.73,9.86,31.41,39096.1,25382.14,0,39096.1,255532104,27129,50966,59.66,389917,0.23,1486.79,Green,379.82,97.49,0.977,1.005,N/A,N/A,N/A,
170,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,55.97,8.44,8.23,9.21,8.63,27.02,39592.19,28290.87,0,28290.87,137323893,14771,65535,43.17,209543.55,0.38,1863.33,Blue,379.48,97.08,0.978,1.006,N/A,N/A,N/A,
171,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,148.71,13.76,12.35,16.43,12.51,44.72,35782.92,12299.39,0,35782.92,462315323,24076,63557,54.6,705447.96,0.27,3502.7,Green,458.76,93.08,0.947,1,N/A,N/A,N/A,
172,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,110.13,11.84,10.15,15.05,10.17,38.93,35165.85,13394.57,0,13394.57,127717258,6977,38615,20.44,194884.04,0.7,6693.96,Blue,459.13,93.18,0.925,1.002,N/A,N/A,N/A,
173,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,96.86,11.11,10.72,13.9,10.86,37.04,38716.79,10230.41,0,38716.79,324833882,21298,64524,59.08,495664.73,0.24,1980.58,Green,361.8,30.03,0.904,1.001,N/A,N/A,N/A,
174,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,65.6,9.14,8.99,9.97,9.28,29.2,38225.95,12121.83,0,12121.83,69385367,5933,37121,18.5,105875.28,0.76,4345.1,Blue,361.23,29.97,0.984,1.009,N/A,N/A,N/A,
175,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,129.02,12.82,12.2,16.17,15.21,45.81,35681.7,10532.14,0,35681.7,398065022,23297,50836,54.45,607408.29,0.27,2976.32,Green,346.32,57.33,0.8,1.013,N/A,N/A,N/A,
176,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,75.42,9.8,9.58,10.7,9.78,31.44,35379.1,13091.47,0,13091.47,86115659,6982,43159,19.98,131404.07,0.71,4693.98,Blue,345.49,57.21,0.974,1,N/A,N/A,N/A,
177,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,106.73,11.66,11.33,12.95,12.45,37.95,32801.51,11479.8,0,32801.51,304726073,24314,40361,50.05,464982.18,0.3,2809.51,Green,326.63,58.59,0.944,1.01,N/A,N/A,N/A,
178,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,75.05,9.78,9.06,11.11,9.22,31.49,32529.61,13224.35,0,13224.35,86368220,7207,28114,20.18,131789.46,0.71,4607.75,Blue,326.56,58.75,0.968,1.006,N/A,N/A,N/A,
179,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,111.29,11.9,11.62,12.75,12.47,38.26,41664.92,11486.63,0,41664.92,402774825,0,55468,63.58,614594.99,0.23,2200.72,Green,381.46,16.6,0.967,1.005,N/A,N/A,N/A,
180,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,66.31,9.19,8.92,9.84,9.27,29.24,42246.83,13889.33,0,13889.33,80349750,7052,40261,21.19,122605.86,0.69,3997.68,Blue,381.5,16.68,0.987,1.007,N/A,N/A,N/A,
181,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,180.63,15.17,13.45,17.3,14.85,49.41,37699.3,9840.77,0,37699.3,588410654,22783,54608,57.53,897857.11,0.24,3819.12,Green,431.27,32.05,0.939,1.005,N/A,N/A,N/A,
182,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,114.39,12.07,11.29,14.3,11.85,39.05,36266.13,10770.95,0,10770.95,106621627,6162,26953,16.44,162694.17,0.8,7892.13,Blue,431,31.6,0.952,1.009,N/A,N/A,N/A,
183,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,107.05,11.67,10.94,12.82,11.42,37.55,29804.04,12888.34,0,29804.04,276849760,20614,38428,45.48,422445.65,0.34,3198.51,Green,398.57,66.51,0.966,1.005,N/A,N/A,N/A,
184,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,95.79,11.04,10.71,12.2,11.03,35.32,29994.05,13568.98,0,13568.98,112486867,6129,34649,20.7,171643.96,0.71,5907.98,Blue,398.92,66.14,0.977,1.009,N/A,N/A,N/A,
185,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,105.57,11.59,10.69,13.88,10.72,37.66,51321.47,15722.28,0,51321.47,470104669,40090,65535,78.31,717335.77,0.11,1001.03,Green,457.79,71.09,0.949,1.004,N/A,N/A,N/A,
186,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,86.17,10.47,10.09,11.41,10.78,33.5,50416.4,17209.47,0,17209.47,129105418,8791,50318,26.26,197002.24,0.6,4507.74,Blue,457.65,70.75,0.981,1.007,N/A,N/A,N/A,
187,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,135.9,13.15,12.35,14.38,14.25,43.05,44336.01,12249.15,0,44336.01,518287997,26256,64416,67.65,790856.79,0.18,2046.84,Green,464.67,61.46,0.93,1.011,N/A,N/A,N/A,
188,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,77.54,9.94,9.41,11.13,9.42,31.82,45142.93,14764.24,0,14764.24,99540494,8388,24648,22.53,151889.06,0.66,4417.66,Blue,464.16,61.94,0.979,1,N/A,N/A,N/A,
189,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,124.65,12.6,12.11,13.98,12.11,40.94,43000.35,12814.27,0,43000.35,465478769,29717,58313,65.61,710275.07,0.19,2012.26,Green,491.79,55.7,0.946,1.003,N/A,N/A,N/A,
190,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,97.45,11.14,11.2,12.41,11.36,36.75,43069.15,14115.95,0,14115.95,119392717,7486,26851,21.54,182181.61,0.67,5701.28,Blue,492.5,56.24,0.922,1.005,N/A,N/A,N/A,
191,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,102.46,11.42,10.62,13.13,11.01,37.34,31586.13,12634.79,0,31586.13,280642736,22784,52631,48.2,428233.37,0.32,2851.95,Green,532.71,26.99,0.942,1.001,N/A,N/A,N/A,
192,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,74.91,9.77,8.99,11.47,9.15,31.48,31088.33,14173.11,0,14173.11,91955169,8365,36310,21.63,140314.59,0.68,4390.19,Blue,532.18,27.14,0.966,1.006,N/A,N/A,N/A,
193,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,126.4,12.69,11.66,14.67,12.46,41.17,37172.01,15170.47,0,37172.01,408148617,21140,52509,56.72,622794.87,0.25,2788.42,Green,537.91,37.51,0.95,1.006,N/A,N/A,N/A,
194,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,75.98,9.84,8.03,12.26,8.04,32.36,38282.77,18358.12,0,18358.12,120723002,10079,44785,28.01,184211.49,0.57,3742.61,Blue,537.75,37.4,0.922,1.012,N/A,N/A,N/A,
195,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,100.92,11.34,10.91,12.34,11.25,36.56,32237.42,14245.24,0,32237.42,282238582,24163,46348,49.19,430668.47,0.31,2723.13,Green,530.61,59.16,0.964,1.01,N/A,N/A,N/A,
196,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,78.71,10.01,9.32,11.59,9.62,32.34,32387.7,15566.49,0,15566.49,106599328,8803,42320,23.75,162660.15,0.64,4356.83,Blue,530.37,58.89,0.959,1.011,N/A,N/A,N/A,
197,fullcorticalcolumn_mouse_Nissl_DAPI_VISp_counted.nd2,109.62,11.81,9.6,15.08,9.66,39.7,41776.99,17691.95,0,41776.99,395836962,30756,61555,63.75,604008.49,0.2,1893.96,Green,525.68,81.88,0.891,1.006,N/A,N/A,N/A,
